icdcode	orphacode	Diagnosebezeichnung	Orpha.Klassifikationsebene
D51.1	35858	Imerslund-Gräsbeck-Syndrom	Disorder
D51.2	859	Transcobalamin-II-Mangel	Disorder
D56.2	231237	Delta-Beta-Thalassämie	Disorder
D59.10	56425	CAD [Kälteagglutininkrankheit]	Disorder
D59.5	447	Marchiafava-Micheli-Anämie	Disorder
D61.3	88	Idiopathische aplastische Anämie	Disorder
D68.01	99147	Erworbenes Von-Willebrand-Jürgens-Syndrom	Disorder
D68.23	327	Faktor-VII-Mangel	Disorder
D68.24	328	Faktor-X-Mangel	Disorder
D68.25	330	Defekt des Hageman-Faktors	Disorder
D69.53	3325	Heparininduzierte Thrombozytopenie Typ II	Disorder
D76.2	158048	Hämophagozytäres Syndrom bei Infektion	Disorder
D80.7	169139	Transiente Hypogammaglobulinämie der Kindheit	Disorder
D81.0	33355	Retikuläre Dysgenesie	Disorder
D81.3	277	ADA [Adenosindesaminase]-Mangel	Disorder
D81.4	83471	Nezelof-Syndrom	Disorder
D81.5	760	PNP [Purinnukleosid-Phosphorylase]-Mangel	Disorder
D81.7	572	Haupthistokompatibilitäts-Komplex-Klasse-II-Defekt	Disorder
D82.0	906	Immundefekt mit Thrombozytopenie und Ekzem	Disorder
D83.8	477661	IL21-abhängige infantile chronisch-entzündliche Darmerkrankung	Disorder
D86.0	797	Lungenkrankheit bei Sarkoidose	Disorder
D86.1	797	Sarkoidose der Lymphknoten	Disorder
D86.2	797	Sarkoidose der Lunge mit Sarkoidose der Lymphknoten	Disorder
D86.3	797	Boeck-Lupoid	Disorder
E10.73	3463	Wolfram-Syndrom, entgleist	Disorder
E13.60	2297	Insulinresistenz-Syndrom, Typ A	Disorder
E13.61	2297	Insulinresistenz-Syndrom, Typ A, entgleist	Disorder
E13.91	769	Rabson-Mendenhall-Syndrom, entgleist	Disorder
E24.0	96253	ACTH [Adrenocorticotropes Hormon]-Hypersekretion der Hypophyse	Disorder
E24.1	199244	Nelson-Syndrom	Disorder
E24.3	99889	Cushing-Syndrom durch ektope ACTH [Adrenocorticotropes Hormon]-Produktion	Disorder
E27.2	95409	Addison-Krise	Disorder
E34.50	90797	Partielle Androgen-Insensitivität [PAIS]	Disorder
E34.8	64	Alström-Syndrom	 Disorder
E70.0	79254	Fölling-Krankheit	Subtype of disorder
E71.2	79197	Stoffwechselstörung verzweigtkettiger Aminosäuren	Group of disorders
E79.1	510	HPRT [Hypoxanthin-Guanin-Phosphoribosyltransferase]-Mangel, Grad IV	Disorder
E80.1	101330	PCT [Porphyria cutanea tarda]	Disorder
E83.50	280062	Calciphylaxie	Disorder
E84.0	586	Fibrozystische Lungenkrankheit	Disorder
E84.1	586	Distales intestinales Obstruktionssyndrom	Disorder
E84.80	586	Zystische Fibrose mit Manifestationen an der Lunge und am Verdauungstrakt	Disorder
E84.87	586	Zystische Fibrose mit sonstigen multiplen Manifestationen	Disorder
E84.88	586	Neonatale Gelbsucht bei Mukoviszidose	Disorder
E84.9	586	CF [Fibrosis cystica]	Disorder
E85.8	330001	Wildtyp-ATTR-Amyloidose	 Disorder
E88.00	60	A1-PI [Alpha-1-Proteinase-Inhibitor]-Mangel	Disorder
F80.3	98818	Erworbene Aphasie mit Epilepsie	Disorder
F98.41	306765	Stereotype Bewegungsstörung mit Selbstverletzung	Group of disorders
G00.1	55655	Meningitis durch Pneumokokken	Disorder
G04.1	289326	Humane T-Zell-lymphotrope Virus-assoziierte Myelopathie	Disorder
G12.0	83330	Spinale Muskelatrophie (SMA), proximale, Typ 1	Subtype of disorder
G12.1	70	Spinale Muskelatrophie (SMA)	Disorder	
G14	2942	Postpoliomyelitis-Syndrom	Disorder
G21.3	97349	Postenzephalitischer Parkinsonismus	Disorder
G37.1	221074	Demyelinisierende Enzephalopathie des Corpus callosum	Disorder
G37.5	228165	Baló-Krankheit	Disorder
G51.2	2483	Melkersson-Rosenthal-Syndrom	Disorder
G51.3	221083	Bell-Spasmus	Disorder
G54.5	2901	Neuralgische Amyotrophie	Disorder
G70.0	589	Myasthenia gravis	Disorder
G71.1	273	Myotone Dystrophie Steinert	 Disorder
G83.5	2406	Locked-in-Syndrom	Disorder
G90.5	99995	Komplexes regionales Schmerzsyndrom Typ I	Subtype of disorder
G90.6	99994	Chronic regional pain syndrome [CRPS] Typ II	Subtype of disorder
G90.7	83452	Komplexes regionales Schmerzsyndrom	Disorder
H34.1	648684	Augenzentralarterienverschluss	Disorder
H35.1	90050	Frühgeborenenretinopathie	Disorder
H95.8	90059	Operationsbedingter akuter sensorineuraler Hörverlust	Disorder
I00	3099	Akute Arthritis bei rheumatischem Fieber	Disorder
I01.0	3099	Aktive Perikarditis mit rheumatischem Fieber	Disorder
I01.2	3099	Aktive rheumatische myokardiale Insuffizienz	Disorder
I01.8	3099	Aktive Linksherzinsuffizienz bei rheumatischem Fieber	Disorder
I01.9	3099	Aktive rheumatische Herzkrankheit	Disorder
I27.20	70591	Chronische thromboembolische pulmonale Hypertension	Disorder
I27.8	97214	Eisenmenger-Komplex	Disorder
I78.0	774	Hereditäre hämorrhagische Teleangiektasie (HHT)	 Disorder
J63.2	133	Berylliose	Disorder
J67.91	31740	Allergische Alveolitis durch organischen Staub mit akuter Exazerbation	Disorder
J70.2	264978	Akute arzneimittelinduzierte interstitielle Lungenkrankheit	Disorder
J70.3	264978	Chronische arzneimittelinduzierte interstitielle Lungenkrankheit	Disorder
J80.01	70578	Mildes akutes Atemnotsyndrom des Erwachsenen	Disorder
J80.02	70578	Moderates akutes Atemnotsyndrom des Erwachsenen	Disorder
J80.03	70578	Schweres akutes Atemnotsyndrom des Erwachsenen	Disorder
J84.91	182095	Interstitielle Lungenkrankheit mit akuter Exazerbation	Group of disorders
K03.5	1077	Ankylose der Zähne	Disorder
K07.8	2972	Syndrom des fehlenden Zahndurchbruchs mit Maxillahypoplasie und Genu valgum	Disorder
K13.5	357154	Orale submuköse Fibrose	Disorder
K60.3	228113	Analfistel	Disorder
K62.7	70475	Radiogene Proktitis	Disorder
K76.5	890	Stuart-Bras-Syndrom	Disorder
K86.11	676	Genetisch bedingte Pankreatitis	Disorder
L00.1	36236	SSS [Staphylococcal scalded skin]-Syndrom mit Befall von 30 % der Körperoberfläche und mehr	Disorder
L10.1	79479	Hallopeau-Syndrom [Pemphigus vegetans]	Disorder
L10.3	636955	Brasilianischer Pemphigus	Disorder
L10.4	79480	Pemphigus erythematosus	Disorder
L10.8	555905	IgA-Pemphigus	Disorder
L12.1	46486	Benignes Schleimhautpemphigoid	Disorder
L12.3	46487	Erworbene Epidermolysis bullosa	Disorder
L13.1	48377	Dermatitis pustulosa subcornealis	Disorder
L21.8	168606	Seborrhö-ähnliche Dermatitis mit psoriasiformen Läsionen	Disorder
L44.0	2897	Devergie-Krankheit	Disorder
L51.21	537	Lyell-Syndrom mit Befall von 30 % der Körperoberfläche und mehr	Subtype of disorder
L56.3	97230	Sonnenlichtbedingte Urtikaria	Disorder
L57.1	330064	Aktinisches Retikuloid	Disorder
L60.5	662	Gelber-Nagel-Syndrom	Disorder
L63.0	700	Alopecia cranialis totalis	Disorder
L63.1	701	Alopecia universalis	Disorder
L66.2	346	Acne decalvans	Disorder
L66.3	345	Folliculitis abscedens et suffodiens	Disorder
L68.1	2221	Erworbene lanuginöse Hypertrichose	Disorder
L87.2	79148	Elastosis perforans serpiginosa	Disorder
L90.1	228272	Anetodermie vom Typ Schweninger-Buzzi	Disorder
L90.2	228272	Anetodermie vom Typ Jadassohn-Pellizzari	Disorder
L90.3	658810	Atrophodermia idiopathica vom Typ Pasini-Pierini	Disorder
L92.1	542592	Lipoidnekrobiose	Disorder
L95.0	542643	Atrophie blanche	Disorder
L95.1	90000	Bury-Krankheit	Disorder
L98.2	3243	Akute febrile neutrophile Dermatose [Sweet-Syndrom]	Disorder
L98.3	901	Eosinophile Zellulitis	Disorder
M02.3	29207	Urethro-okulo-synoviales Syndrom [Reiter-Syndrom]	Disorder
M05.0	47612	Felty-Syndrom	Disorder
M06.1	829	Adulte Form der Still-Krankheit	Disorder
M08.2	85414	Systemisch beginnende Form der juvenilen chronischen Arthritis	Disorder
M08.4	85410	Juvenile chronische Arthritis, oligoartikuläre Form	Disorder
M08.9	92	Juvenile idiopathische Arthritis	Group of disorders
M11.1	1416	Familiäre CPPD [Kalziumpyrophosphat-Dihydrat]-Ablagerungskrankheit	Disorder
M12.2	66627	Pigmentierte villonoduläre Synovialitis	Disorder
M12.4	329967	Intermittierende Hydrarthrose	Disorder
M12.80	2848	CACP [Kamptodaktylie, Arthropathie, Coxa vara, Perikarditis]-Syndrom	Disorder
M25.94	85169	Familiäre digitale Arthropathie mit Brachydaktylie	Disorder
M30.3	2331	Kawasaki-Syndrom [Mukokutanes Lymphknotensyndrom]	Disorder
M31.4	3287	Aortenbogensyndrom	Disorder
M31.6	397	Arteriitis temporalis	Disorder
M31.7	727	Mikroskopische Panarteriitis	Disorder
M31.8	36412	Hypokomplementämische urtikarielle Vaskulitis	Disorder
M32.8	300345	Autosomal-rezessiver systemischer Lupus erythematodes	Disorder
M34.1	220402	CREST-Syndrom [Spezialform der progressiven systemischen Sklerose mit Calcinosis cutis, Raynaud-Phänomen, Ösophagusdysfunktion, Sklerodaktylie und Teleangiektasie]	Subtype of disorder
M34.2	90291	Arzneimittelinduzierte systemische Sklerose	Disorder
M35.4	3165	Diffuse eosinophile Fasziitis	Disorder
M35.6	33577	Christian-Weber-Krankheit	Disorder
M43.86	1320	Idiopathische, nicht-psychogene Kamptokormie	Disorder
M60.8	247724	Idiopathische eosinophile Myositis	Disorder
M60.81	592	Makrophagische Myofasziitis in der Schulterregion	Disorder
M60.88	48918	Fokale Myositis am Kopf	Disorder
